longitude,latitude,param1,param2,param3,param4,param5,param6,layer
-120.97222222222223,31.02232142857143,-6184.5,-3.8662e-08,-3.167e-08,-1.9357e-11,3.4961e-09,3.7880000000000006e-08,3
-120.97222222222223,31.066964285714285,-6180.8,-3.879e-08,-3.1538e-08,-6.410200000000001e-11,3.6268e-09,3.7882e-08,3
-120.97222222222223,31.111607142857146,-6181.8,-3.913e-08,-3.1193e-08,-1.8093e-10,3.972900000000001e-09,3.7953e-08,3
-120.97222222222223,31.15625,-6182.5,-3.9693e-08,-3.1233e-08,-2.3884e-10,4.237e-09,3.8269e-08,3
-120.97222222222223,31.200892857142854,-6183.3,-4.0132000000000005e-08,-3.2112e-08,-4.880699999999999e-11,4.0107e-09,3.8813e-08,3
-120.97222222222223,31.245535714285715,-6173.4,-4.0283e-08,-3.2062e-08,3.0309e-11,4.1106e-09,3.9032e-08,3
-120.97222222222223,31.29017857142857,-6163.5,-4.0311e-08,-3.1958e-08,8.261700000000001e-11,4.1772e-09,3.9002e-08,3
-120.97222222222223,31.33482142857143,-6164.8,-4.021e-08,-3.1307000000000004e-08,1.7929e-10,4.454800000000001e-09,3.8752e-08,3
-120.97222222222223,31.379464285714285,-6166.3,-4.0045e-08,-3.1528e-08,1.6704e-10,4.2618e-09,3.878e-08,3
-120.97222222222223,31.424107142857146,-6167.9,-4.006e-08,-3.1527e-08,4.7733000000000006e-11,4.2668e-09,3.8791e-08,3
-120.97222222222223,31.46875,-6169.3,-4.0486e-08,-3.1182e-08,-1.5777e-10,4.6547e-09,3.8844e-08,3
-120.97222222222223,31.513392857142854,-6170.5,-4.1344e-08,-3.0524e-08,-2.8963e-10,5.4181e-09,3.9057e-08,3
-120.97222222222223,31.558035714285715,-6172.1,-4.2642e-08,-2.9787e-08,-5.0384e-10,6.4474e-09,3.9577e-08,3
-120.97222222222223,31.60267857142857,-6173.9,-4.4323e-08,-2.9534e-08,-5.871799999999999e-10,7.4178e-09,4.0394e-08,3
-120.97222222222223,31.64732142857143,-6170.9,-4.588e-08,-2.9481e-08,-3.9202e-10,8.2089e-09,4.1148999999999993e-08,3
-120.97222222222223,31.691964285714285,-6168.1,-4.7051e-08,-2.854e-08,-2.7173e-10,9.259299999999998e-09,4.1572e-08,3
-120.97222222222223,31.736607142857146,-6170.4,-4.7975e-08,-2.8057e-08,-1.9485e-10,9.9611e-09,4.1922e-08,3
-120.97222222222223,31.78125,-6172.8,-4.8673e-08,-2.69e-08,-8.925e-11,1.0887e-08,4.1986e-08,3
