longitude,latitude,param1,param2,param3,param4,param5,param6,layer
-120.97222222222223,31.02232142857143,-3910.5,-3.8633e-08,-3.1642e-08,-1.9726e-11,3.4955e-09,3.7841e-08,2
-120.97222222222223,31.066964285714285,-3908.3,-3.8765e-08,-3.1503999999999995e-08,-6.7534e-11,3.6313e-09,3.7849e-08,2
-120.97222222222223,31.111607142857146,-3909.0,-3.9091e-08,-3.1165e-08,-1.6469e-10,3.9665e-09,3.7887e-08,2
-120.97222222222223,31.15625,-3909.3,-3.969e-08,-3.0944e-08,-2.9098e-10,4.3828e-09,3.8168e-08,2
-120.97222222222223,31.200892857142854,-3909.8,-4.0094e-08,-3.2648e-08,2.9588e-11,3.7228e-09,3.8956e-08,2
-120.97222222222223,31.245535714285715,-3904.0,-3.9967e-08,-3.2003e-08,1.9555e-10,3.9867e-09,3.8926e-08,2
-120.97222222222223,31.29017857142857,-3897.9,-3.9734e-08,-3.2378999999999995e-08,1.3703e-10,3.68e-09,3.8867e-08,2
-120.97222222222223,31.33482142857143,-3898.6,-3.9597e-08,-3.1292e-08,1.4263e-10,4.1554e-09,3.8377e-08,2
-120.97222222222223,31.379464285714285,-3899.6,-3.9511e-08,-3.1328e-08,1.2697e-10,4.0935e-09,3.8299e-08,2
-120.97222222222223,31.424107142857146,-3900.6,-3.9546e-08,-3.1511000000000003e-08,6.6548e-11,4.0181e-09,3.8378e-08,2
-120.97222222222223,31.46875,-3901.4,-3.9965e-08,-3.1110000000000005e-08,-1.6748e-10,4.4303e-09,3.8418e-08,2
-120.97222222222223,31.513392857142854,-3902.0,-4.0822e-08,-3.048e-08,-2.7356000000000004e-10,5.1783e-09,3.8609e-08,2
-120.97222222222223,31.558035714285715,-3903.1,-4.216e-08,-2.9544e-08,-5.4728e-10,6.331600000000001e-09,3.9069e-08,2
-120.97222222222223,31.60267857142857,-3904.1,-4.4016e-08,-2.9285e-08,-6.9489e-10,7.3982e-09,4.0073e-08,2
-120.97222222222223,31.64732142857143,-3902.3,-4.5695e-08,-2.9999e-08,-3.9469e-10,7.8578e-09,4.1197e-08,2
-120.97222222222223,31.691964285714285,-3900.8,-4.6809000000000006e-08,-2.8618e-08,-2.3198e-10,9.0987e-09,4.1562e-08,2
-120.97222222222223,31.736607142857146,-3902.1,-4.7693e-08,-2.8563e-08,-2.0951e-10,9.5673e-09,4.1933e-08,2
-120.97222222222223,31.78125,-3903.4,-4.8343e-08,-2.6793e-08,-4.188199999999999e-11,1.0775e-08,4.1828e-08,2
-120.97222222222223,31.825892857142854,-3904.9,-4.897e-08,-2.5829e-08,-1.6543000000000002e-10,1.1572e-08,4.1819999999999993e-08,2
-120.97222222222223,31.870535714285715,-3906.3,-5.0115e-08,-2.4144e-08,-3.9123000000000005e-10,1.2991e-08,4.2004e-08,2
-120.97222222222223,31.91517857142857,-3905.3,-5.1598e-08,-2.3284e-08,-3.8695e-10,1.4162e-08,4.2597e-08,2
-120.97222222222223,31.95982142857143,-3904.8,-5.2995e-08,-2.2562e-08,-3.3141000000000005e-10,1.5219999999999997e-08,4.3278e-08,2
-120.97222222222223,32.004464285714285,-3906.6,-5.4471999999999986e-08,-2.172e-08,-4.4062e-10,1.6382e-08,4.4047e-08,2
-120.97222222222223,32.049107142857146,-3908.6,-5.6387e-08,-2.1127e-08,-6.382599999999999e-10,1.7641e-08,4.5119e-08,2
-120.97222222222223,32.09375,-3910.8,-5.8195e-08,-2.1007e-08,-3.9381e-10,1.8598e-08,4.6095e-08,2
-120.97222222222223,32.138392857142854,-3912.6,-5.9239999999999987e-08,-1.9176e-08,-1.5133e-10,2.0032e-08,4.6511e-08,2
-120.97222222222223,32.183035714285715,-3914.9,-6.0264e-08,-1.8027e-08,-4.0174e-10,2.1122e-08,4.6995e-08,2
-120.97222222222223,32.22767857142857,-3917.4,-6.1941e-08,-1.7122e-08,-5.8562e-10,2.2417e-08,4.7933e-08,2
-120.97222222222223,32.27232142857143,-3919.4,-6.3906e-08,-1.6312e-08,-5.9587e-10,2.3804e-08,4.9133e-08,2
-120.97222222222223,32.316964285714285,-3921.8,-6.5432e-08,-1.6289e-08,-3.1711000000000006e-10,2.4573e-08,4.9999e-08,2
-120.97222222222223,32.361607142857146,-3924.6,-6.6353e-08,-1.3846e-08,-1.9528e-10,2.6254e-08,5.0432e-08,2
-120.97222222222223,32.40625,-3927.1,-6.7646e-08,-1.2908e-08,-5.2548e-10,2.7374e-08,5.1129e-08,2
-120.97222222222223,32.450892857142854,-3929.5,-6.9225e-08,-1.2574e-08,-3.8675e-10,2.8328e-08,5.2023e-08,2
-120.97222222222223,32.495535714285715,-3932.4,-7.025e-08,-1.101e-08,-2.1626e-10,2.9621e-08,5.2668e-08,2
-120.97222222222223,32.54017857142857,-3935.1,-7.1301e-08,-1.0097e-08,-3.9239e-10,3.0605e-08,5.3317e-08,2
-120.97222222222223,32.58482142857143,-3937.9,-7.3093e-08,-8.8981e-09,-6.3524e-10,3.2104e-08,5.4453e-08,2
-120.97222222222223,32.629464285714285,-3940.9,-7.5198e-08,-8.1905e-09,-6.1027e-10,3.3510000000000014e-08,5.5851e-08,2
-120.97222222222223,32.674107142857146,-3943.9,-7.6849e-08,-7.9425e-09,-4.3274e-10,3.4456e-08,5.7005e-08,2
-120.97222222222223,32.71875,-3947.0,-7.7816e-08,-8.025800000000001e-09,-2.9884e-10,3.4897e-08,5.7623e-08,2
-120.97222222222223,32.763392857142854,-3950.5,-7.7655e-08,-7.1497e-09,1.2824e-10,3.5253e-08,5.7509e-08,2
-120.97222222222223,32.808035714285715,-3953.8,-7.6751e-08,-6.409600000000001e-09,1.5616e-10,3.5171000000000004e-08,5.6905e-08,2
-120.97222222222223,32.85267857142857,-3959.8,-7.653800000000001e-08,-5.7902e-09,-4.9793e-11,3.5374e-08,5.6712e-08,2
-120.97222222222223,32.89732142857143,-3971.5,-7.7561e-08,-5.2641000000000005e-09,-3.1911e-10,3.615e-08,5.7297e-08,2
-120.97222222222223,32.941964285714285,-3985.9,-7.9481e-08,-4.5869e-09,-5.1916e-10,3.7451e-08,5.856900000000001e-08,2
-120.97222222222223,32.986607142857146,-4000.4,-8.1352e-08,-5.0081000000000005e-09,-4.0403e-10,3.8174e-08,5.9924e-08,2
-120.97222222222223,33.03125,-4015.3,-8.243199999999999e-08,-5.612199999999999e-09,-1.9717e-10,3.8411e-08,6.0702e-08,2
-120.97222222222223,33.075892857142854,-4030.9,-8.259600000000001e-08,-4.8991e-09,6.150500000000001e-11,3.8849e-08,6.0765e-08,2
-120.97222222222223,33.120535714285715,-4046.6,-8.237299999999999e-08,-2.95e-09,3.1891e-11,3.9711e-08,6.0764e-08,2
-120.97222222222223,33.16517857142857,-4062.6,-8.264900000000001e-08,-3.5994e-09,-1.6402e-10,3.9525e-08,6.0995e-08,2
-120.97222222222223,33.20982142857143,-4078.5,-8.3564e-08,-4.0635e-09,-2.7061e-10,3.9751e-08,6.1597e-08,2
-120.97222222222223,33.254464285714285,-4065.5,-8.3802e-08,-4.2491e-09,1.8668e-10,3.9777e-08,6.1659e-08,2
-120.97222222222223,33.299107142857146,-4050.1,-8.212e-08,-4.133600000000001e-09,7.244299999999999e-10,3.9e-08,6.0582e-08,2
-120.97222222222223,33.34375,-4061.4,-7.958700000000001e-08,-4.9241e-09,7.0938e-10,3.7338e-08,5.891e-08,2
-120.97222222222223,33.388392857142854,-4073.0,-7.7976e-08,-5.3856e-09,4.3485e-10,3.6298e-08,5.7779e-08,2
-120.97222222222223,33.433035714285715,-4084.9,-7.7578e-08,-5.7891e-09,3.0241000000000004e-10,3.5896e-08,5.744e-08,2
-120.97222222222223,33.47767857142857,-4097.1,-7.7745e-08,-6.2713e-09,3.5308e-10,3.5739e-08,5.7579e-08,2
-120.97222222222223,33.52232142857143,-4109.5,-7.8957e-08,-6.429399999999999e-09,-1.2957e-10,3.6264e-08,5.8479e-08,2
-120.97222222222223,33.566964285714285,-4122.0,-8.1701e-08,-6.4932e-09,-4.786999999999999e-10,3.7607e-08,6.0399e-08,2
-120.97222222222223,33.611607142857146,-4125.5,-8.3986e-08,-8.0485e-09,1.3222000000000003e-11,3.7969e-08,6.193800000000001e-08,2
-120.97222222222223,33.65625,-4122.8,-8.2909e-08,-9.5729e-09,1.2562e-09,3.6689e-08,6.1461e-08,2
-120.97222222222223,33.700892857142854,-4129.0,-7.933e-08,-1.066e-08,1.4307e-09,3.4365000000000004e-08,5.9599e-08,2
-120.97222222222223,33.745535714285715,-4141.4,-7.7165e-08,-1.3334e-08,7.0436e-10,3.1923e-08,5.8545e-08,2
-120.97222222222223,33.79017857142857,-4153.9,-7.6687e-08,-1.5878e-08,8.352000000000001e-10,3.0416e-08,5.8429e-08,2
-120.97222222222223,33.83482142857143,-4167.0,-7.5354e-08,-1.7795e-08,1.5127000000000002e-09,2.882e-08,5.7703e-08,2
-120.97222222222223,33.879464285714285,-4180.6,-7.3383e-08,-1.7398e-08,1.475e-09,2.8031e-08,5.6513e-08,2
-120.97222222222223,33.924107142857146,-4194.9,-7.2898e-08,-1.8017e-08,8.7802e-10,2.7455e-08,5.6302e-08,2
-120.97222222222223,33.96875,-4210.5,-7.398200000000001e-08,-1.9305e-08,7.5289e-10,2.7349e-08,5.7312e-08,2
-120.97222222222223,34.013392857142854,-4226.5,-7.587999999999999e-08,-2.0325e-08,6.335599999999999e-10,2.7785e-08,5.8856e-08,2
-120.97222222222223,34.058035714285715,-4242.3,-7.8763e-08,-1.9945e-08,4.7e-10,2.9413e-08,6.0671e-08,2
