longitude,latitude,param1,param2,param3,param4,param5,param6,layer
-120.97222222222223,31.02232142857143,-15072.0,-3.8705e-08,-3.1979000000000005e-08,-8.0985e-12,3.3635e-09,3.809e-08,6
-120.97222222222223,31.066964285714285,-15069.0,-3.8779e-08,-3.1938e-08,-2.7555e-11,3.4206e-09,3.8118e-08,6
-120.97222222222223,31.111607142857146,-15074.0,-3.8936e-08,-3.1880000000000005e-08,-4.8811000000000006e-11,3.5283000000000007e-09,3.8173e-08,6
-120.97222222222223,31.15625,-15065.0,-3.9192e-08,-3.1765e-08,-8.5544e-11,3.7149e-09,3.8226e-08,6
-120.97222222222223,31.200892857142854,-15041.0,-3.9526e-08,-3.1744e-08,-9.2935e-11,3.892e-09,3.8319e-08,6
-120.97222222222223,31.245535714285715,-15021.0,-3.9895e-08,-3.1615e-08,-9.904999999999998e-11,4.1413e-09,3.8446e-08,6
-120.97222222222223,31.29017857142857,-15017.0,-4.0312e-08,-3.1462e-08,-1.1561e-10,4.4265e-09,3.8655e-08,6
-120.97222222222223,31.33482142857143,-15025.0,-4.0792e-08,-3.1281e-08,-1.2851e-10,4.7573000000000005e-09,3.8921e-08,6
-120.97222222222223,31.379464285714285,-15031.0,-4.143e-08,-3.1012e-08,-2.2707e-10,5.2141e-09,3.9248e-08,6
-120.97222222222223,31.424107142857146,-15038.0,-4.2226e-08,-3.126e-08,-2.4092e-10,5.4884e-09,3.9755e-08,6
-120.97222222222223,31.46875,-15047.0,-4.2978e-08,-3.0852e-08,-1.581e-10,6.065399999999999e-09,4.0067e-08,6
-120.97222222222223,31.513392857142854,-15063.0,-4.3575e-08,-3.055e-08,-7.5599e-11,6.5128e-09,4.027e-08,6
-120.97222222222223,31.558035714285715,-15078.0,-4.4121e-08,-2.9560000000000005e-08,-8.551399999999999e-11,7.2807e-09,4.0255e-08,6
-120.97222222222223,31.60267857142857,-15092.0,-4.4823e-08,-2.9122e-08,-1.875e-10,7.8525e-09,4.0389e-08,6
-120.97222222222223,31.64732142857143,-15100.0,-4.5679e-08,-2.855e-08,-2.0482e-10,8.566799999999999e-09,4.0574e-08,6
-120.97222222222223,31.691964285714285,-15104.0,-4.6573e-08,-2.7772e-08,-2.1103e-10,9.4028e-09,4.0793e-08,6
-120.97222222222223,31.736607142857146,-15124.0,-4.7504e-08,-2.7132e-08,-2.3232e-10,1.0189e-08,4.1115e-08,6
-120.97222222222223,31.78125,-15144.0,-4.8479e-08,-2.6426e-08,-2.5051e-10,1.1029e-08,4.1508e-08,6
-120.97222222222223,31.825892857142854,-15121.0,-4.9501e-08,-2.5636e-08,-2.6842e-10,1.1936e-08,4.1957e-08,6
-120.97222222222223,31.870535714285715,-15099.0,-5.0591e-08,-2.484e-08,-2.9252e-10,1.2879e-08,4.2447e-08,6
-120.97222222222223,31.91517857142857,-15109.0,-5.1753e-08,-2.4039e-08,-3.1883e-10,1.3861e-08,4.2964e-08,6
-120.97222222222223,31.95982142857143,-15095.0,-5.2981e-08,-2.317e-08,-3.3867000000000003e-10,1.491e-08,4.3499e-08,6
-120.97222222222223,32.004464285714285,-15083.0,-5.4269e-08,-2.2276e-08,-3.5722000000000003e-10,1.6e-08,4.4060000000000005e-08,6
-120.97222222222223,32.049107142857146,-15096.0,-5.5605e-08,-2.1342e-08,-3.7425e-10,1.7136e-08,4.4647e-08,6
-120.97222222222223,32.09375,-15109.0,-5.6984e-08,-2.0383e-08,-3.9375e-10,1.8305e-08,4.5291e-08,6
-120.97222222222223,32.138392857142854,-15123.0,-5.8393e-08,-1.9435e-08,-4.108e-10,1.9483e-08,4.6011e-08,6
-120.97222222222223,32.183035714285715,-15113.0,-5.9821e-08,-1.8468e-08,-4.1903e-10,2.0681e-08,4.6767e-08,6
-120.97222222222223,32.22767857142857,-15101.0,-6.1271e-08,-1.7454000000000002e-08,-4.2405e-10,2.1913e-08,4.7524e-08,6
-120.97222222222223,32.27232142857143,-15104.0,-6.2729e-08,-1.6402e-08,-4.2556e-10,2.3168000000000003e-08,4.8278e-08,6
-120.97222222222223,32.316964285714285,-15100.0,-6.4177e-08,-1.5356000000000002e-08,-4.238e-10,2.4414e-08,4.9066e-08,6
-120.97222222222223,32.361607142857146,-15097.0,-6.559999999999999e-08,-1.4371e-08,-4.2101e-10,2.5618e-08,4.9897e-08,6
-120.97222222222223,32.40625,-15092.0,-6.7007e-08,-1.3375e-08,-4.197300000000001e-10,2.6819e-08,5.0731e-08,6
-120.97222222222223,32.450892857142854,-15096.0,-6.839100000000001e-08,-1.2377e-08,-4.1129e-10,2.801e-08,5.1554e-08,6
-120.97222222222223,32.495535714285715,-15111.0,-6.974e-08,-1.1433e-08,-3.9792e-10,2.9156e-08,5.2377e-08,6
-120.97222222222223,32.54017857142857,-15110.0,-7.106e-08,-1.0505e-08,-3.83e-10,3.028e-08,5.3198e-08,6
-120.97222222222223,32.58482142857143,-15108.0,-7.237999999999999e-08,-9.5785e-09,-3.8405e-10,3.1403e-08,5.4009e-08,6
