longitude,latitude,param1,param2,param3,param4,param5,param6,layer
-120.97222222222223,31.02232142857143,-8458.5,-3.8683e-08,-3.173e-08,-1.7522000000000002e-11,3.4766e-09,3.7934e-08,4
-120.97222222222223,31.066964285714285,-8453.3,-3.88e-08,-3.163e-08,-5.5194e-11,3.5852e-09,3.7956e-08,4
-120.97222222222223,31.111607142857146,-8454.5,-3.9089e-08,-3.1403e-08,-1.4104e-10,3.8459e-09,3.8039e-08,4
-120.97222222222223,31.15625,-8455.8,-3.9624000000000005e-08,-3.1313e-08,-2.5074e-10,4.1632e-09,3.8272e-08,4
-120.97222222222223,31.200892857142854,-8456.8,-4.0154e-08,-3.186e-08,-1.1484999999999997e-10,4.1487e-09,3.8698e-08,4
-120.97222222222223,31.245535714285715,-8442.8,-4.042e-08,-3.1851e-08,5.7649e-12,4.2843e-09,3.892e-08,4
-120.97222222222223,31.29017857142857,-8429.1,-4.0573e-08,-3.1703e-08,6.4881e-12,4.4348e-09,3.9005e-08,4
-120.97222222222223,31.33482142857143,-8430.9,-4.0684e-08,-3.1387e-08,6.7803e-11,4.6487e-09,3.9076e-08,4
-120.97222222222223,31.379464285714285,-8432.9,-4.0780000000000005e-08,-3.1578e-08,4.545e-11,4.6009e-09,3.9282e-08,4
-120.97222222222223,31.424107142857146,-8435.1,-4.1021e-08,-3.1459000000000004e-08,-2.9244e-11,4.7808e-09,3.9395e-08,4
-120.97222222222223,31.46875,-8437.1,-4.152e-08,-3.1246999999999995e-08,-1.4613e-10,5.1388e-09,3.9576e-08,4
-120.97222222222223,31.513392857142854,-8439.0,-4.2321e-08,-3.0646e-08,-2.6065e-10,5.8428000000000005e-09,3.9828e-08,4
-120.97222222222223,31.558035714285715,-8441.3,-4.3423e-08,-3.0003e-08,-3.7733e-10,6.720500000000001e-09,4.0221e-08,4
-120.97222222222223,31.60267857142857,-8443.8,-4.4742e-08,-2.9437e-08,-4.1028e-10,7.6638e-09,4.0662e-08,4
-120.97222222222223,31.64732142857143,-8439.5,-4.6009000000000005e-08,-2.9227e-08,-3.1581e-10,8.3972e-09,4.1126e-08,4
-120.97222222222223,31.691964285714285,-8435.5,-4.7094e-08,-2.8177e-08,-2.6209e-10,9.4619e-09,4.1396e-08,4
-120.97222222222223,31.736607142857146,-8438.6,-4.8045e-08,-2.7617e-08,-2.115e-10,1.0216e-08,4.1734e-08,4
-120.97222222222223,31.78125,-8442.1,-4.8839999999999986e-08,-2.6743e-08,-1.3286000000000002e-10,1.1049e-08,4.1947e-08,4
-120.97222222222223,31.825892857142854,-8445.6,-4.9643e-08,-2.5236e-08,-2.0181e-10,1.2205e-08,4.2025e-08,4
-120.97222222222223,31.870535714285715,-8448.8,-5.0651e-08,-2.4487e-08,-2.6541e-10,1.3085e-08,4.2404e-08,4
-120.97222222222223,31.91517857142857,-8446.8,-5.1776e-08,-2.371e-08,-2.689e-10,1.4035e-08,4.2909e-08,4
-120.97222222222223,31.95982142857143,-8445.0,-5.2960000000000006e-08,-2.2908e-08,-3.0716000000000005e-10,1.503e-08,4.3423e-08,4
-120.97222222222223,32.004464285714285,-8449.1,-5.4254e-08,-2.2107e-08,-3.4772000000000007e-10,1.6077e-08,4.4006e-08,4
-120.97222222222223,32.049107142857146,-8453.9,-5.5655e-08,-2.1246e-08,-3.8082e-10,1.7209000000000002e-08,4.4588e-08,4
-120.97222222222223,32.09375,-8458.8,-5.7071e-08,-2.0279e-08,-3.8198e-10,1.84e-08,4.5198e-08,4
-120.97222222222223,32.138392857142854,-8463.4,-5.8441e-08,-1.9325000000000003e-08,-3.9389e-10,1.9562e-08,4.5948e-08,4
-120.97222222222223,32.183035714285715,-8468.4,-5.9852e-08,-1.8397e-08,-4.2614e-10,2.0732e-08,4.6768e-08,4
-120.97222222222223,32.22767857142857,-8474.1,-6.1372e-08,-1.7406e-08,-4.4398e-10,2.1987e-08,4.7584e-08,4
-120.97222222222223,32.27232142857143,-8479.4,-6.294400000000001e-08,-1.6376e-08,-4.454800000000001e-10,2.3288000000000003e-08,4.8349000000000005e-08,4
-120.97222222222223,32.316964285714285,-8485.0,-6.4418e-08,-1.5289e-08,-4.0859e-10,2.4568e-08,4.9110000000000014e-08,4
-120.97222222222223,32.361607142857146,-8491.1,-6.575199999999999e-08,-1.4325e-08,-3.8685000000000007e-10,2.5716e-08,4.9961e-08,4
-120.97222222222223,32.40625,-8496.9,-6.7097e-08,-1.3298e-08,-4.0555e-10,2.6903000000000006e-08,5.0760000000000006e-08,4
-120.97222222222223,32.450892857142854,-8503.0,-6.8471e-08,-1.2197e-08,-4.0266e-10,2.814e-08,5.1509e-08,4
-120.97222222222223,32.495535714285715,-8509.6,-6.9794e-08,-1.1244e-08,-4.0036e-10,2.9278e-08,5.2339e-08,4
-120.97222222222223,32.54017857142857,-8516.1,-7.1142e-08,-1.0259e-08,-4.0334e-10,3.0444e-08,5.3210000000000005e-08,4
-120.97222222222223,32.58482142857143,-8522.8,-7.2867e-08,-9.0523e-09,-5.9498e-10,3.1913e-08,5.4316e-08,4
-120.97222222222223,32.629464285714285,-8529.4,-7.4759e-08,-8.637e-09,-5.187899999999999e-10,3.3065000000000005e-08,5.5512e-08,4
-120.97222222222223,32.674107142857146,-8536.1,-7.603399999999999e-08,-8.0053e-09,-2.7561000000000004e-10,3.4015e-08,5.6315e-08,4
-120.97222222222223,32.71875,-8543.4,-7.6751e-08,-7.4092e-09,-2.5721e-10,3.4672e-08,5.6741e-08,4
-120.97222222222223,32.763392857142854,-8551.9,-7.7198e-08,-6.9181000000000016e-09,-1.8418e-10,3.5141e-08,5.7056e-08,4
-120.97222222222223,32.808035714285715,-8559.4,-7.745e-08,-6.4302e-09,-1.4519999999999997e-10,3.551e-08,5.7334e-08,4
-120.97222222222223,32.85267857142857,-8573.0,-7.7832e-08,-6.0236e-09,-1.4244999999999998e-10,3.5905e-08,5.7685e-08,4
-120.97222222222223,32.89732142857143,-8600.5,-7.8565e-08,-5.7296000000000006e-09,-1.7874000000000002e-10,3.6418e-08,5.8208e-08,4
-120.97222222222223,32.941964285714285,-8634.4,-7.959e-08,-5.4606e-09,-2.1595e-10,3.7065e-08,5.8869e-08,4
-120.97222222222223,32.986607142857146,-8668.5,-8.0748e-08,-5.082800000000001e-09,-2.8662e-10,3.7833e-08,5.9523e-08,4
-120.97222222222223,33.03125,-8703.1,-8.1761e-08,-4.6068e-09,-2.3848e-10,3.8578e-08,6.005e-08,4
-120.97222222222223,33.075892857142854,-8739.3,-8.224399999999999e-08,-4.0866e-09,-5.902399999999999e-11,3.9079e-08,6.0435e-08,4
-120.97222222222223,33.120535714285715,-8775.9,-8.244099999999999e-08,-3.7827e-09,-6.370399999999999e-11,3.9329e-08,6.076000000000001e-08,4
-120.97222222222223,33.16517857142857,-8813.0,-8.274599999999999e-08,-3.7482e-09,-4.3246e-11,3.9499e-08,6.0964e-08,4
-120.97222222222223,33.20982142857143,-8850.3,-8.289e-08,-3.7675e-09,8.4914e-11,3.9561e-08,6.0915e-08,4
-120.97222222222223,33.254464285714285,-8820.3,-8.2567e-08,-4.0196e-09,1.9402e-10,3.9274e-08,6.0647e-08,4
-120.97222222222223,33.299107142857146,-8784.6,-8.1805e-08,-4.2815e-09,2.3847e-10,3.8762e-08,6.0266e-08,4
-120.97222222222223,33.34375,-8810.8,-8.0936e-08,-4.7371e-09,2.5287000000000003e-10,3.81e-08,5.983e-08,4
-120.97222222222223,33.388392857142854,-8837.6,-8.023199999999999e-08,-5.2823e-09,3.1886e-10,3.7476e-08,5.943800000000001e-08,4
