longitude,latitude,param1,param2,param3,param4,param5,param6,layer
-120.97222222222223,31.02232142857143,-27887.0,-3.8676e-08,-3.2133e-08,-5.819e-12,3.2717e-09,3.8148e-08,7
-120.97222222222223,31.066964285714285,-27888.0,-3.8734e-08,-3.2106e-08,-1.6371e-11,3.3143e-09,3.8161e-08,7
-120.97222222222223,31.111607142857146,-27892.0,-3.8852e-08,-3.2048000000000003e-08,-2.6483e-11,3.4021e-09,3.8185e-08,7
-120.97222222222223,31.15625,-27882.0,-3.9028e-08,-3.1944e-08,-3.7719e-11,3.542e-09,3.8211e-08,7
-120.97222222222223,31.200892857142854,-27857.0,-3.9268e-08,-3.1789999999999995e-08,-5.7054e-11,3.7392e-09,3.8246e-08,7
-120.97222222222223,31.245535714285715,-27847.0,-3.9581e-08,-3.1618e-08,-7.7506e-11,3.9826e-09,3.8315e-08,7
-120.97222222222223,31.29017857142857,-27853.0,-3.9968e-08,-3.1429e-08,-9.5533e-11,4.2707e-09,3.8427e-08,7
-120.97222222222223,31.33482142857143,-27860.0,-4.0425000000000006e-08,-3.1209e-08,-1.135e-10,4.6093e-09,3.8573e-08,7
-120.97222222222223,31.379464285714285,-27865.0,-4.0963e-08,-3.093e-08,-1.4224000000000002e-10,5.0187e-09,3.8739e-08,7
-120.97222222222223,31.424107142857146,-27870.0,-4.1577e-08,-3.0678e-08,-1.5395e-10,5.452100000000001e-09,3.8941e-08,7
-120.97222222222223,31.46875,-27877.0,-4.2228000000000006e-08,-3.0305e-08,-1.4978999999999998e-10,5.963699999999999e-09,3.9146e-08,7
-120.97222222222223,31.513392857142854,-27892.0,-4.2893e-08,-2.991e-08,-1.4604e-10,6.4931e-09,3.9371e-08,7
-120.97222222222223,31.558035714285715,-27905.0,-4.3586e-08,-2.9389e-08,-1.5537e-10,7.1001e-09,3.9594e-08,7
-120.97222222222223,31.60267857142857,-27917.0,-4.4345e-08,-2.8881e-08,-1.8125e-10,7.7339e-09,3.9846e-08,7
-120.97222222222223,31.64732142857143,-27929.0,-4.5183e-08,-2.8306e-08,-2.0075e-10,8.4405e-09,4.0127e-08,7
-120.97222222222223,31.691964285714285,-27936.0,-4.6086e-08,-2.7705e-08,-2.2098e-10,9.193e-09,4.0455e-08,7
